,Inflation_1,Output_GDP
0,0.053367354,0.48333436
1,0.07142418,0.5868461
2,0.0842695,0.713057
3,0.10018812,0.781808
4,0.12072462,0.8114516
5,0.13045011,0.8114846
6,0.12440826,0.76328504
7,0.134452,0.7641319
8,0.14816989,0.7279033
9,0.14505464,0.7820071
10,0.14711799,0.77669406
11,0.14985535,0.70791507
12,0.16841362,0.72246253
13,0.15007825,0.59084487
14,0.052522328,0.45495984
15,0.03230834,0.4312063
16,0.090724505,0.46155748
17,0.12281565,0.5422444
18,0.14180224,0.58541995
19,0.1677695,0.6747124
20,0.18863949,0.6150965
21,0.20559444,0.5779338
22,0.1915587,0.6366422
23,0.17215547,0.5495312
24,0.13424118,0.4995328
25,0.08902128,0.41672745
26,0.10025929,0.4027582
27,0.078910775,0.45864636
28,0.097687356,0.44686475
29,0.12150016,0.5237279
30,0.14880192,0.5728674
31,0.13518745,0.5697834
32,0.14994562,0.58495253
33,0.14593115,0.5437269
34,0.15261213,0.53008693
35,0.15480614,0.50459594
36,0.17803313,0.60637504
37,0.17032629,0.5777584
38,0.17653891,0.63571864
39,0.1779611,0.63551146
40,0.17222847,0.67712325
41,0.19725403,0.61921465
42,0.21191818,0.73167294
43,0.21014291,0.7364755
44,0.21439852,0.81535625
45,0.22802387,0.87650436
46,0.23140036,0.9034064
47,0.26286402,0.8886653
48,0.27821025,0.8813891
49,0.27828568,0.8759337
50,0.2374817,0.8749332
51,0.21148874,0.81331694
52,0.2118996,0.8078396
53,0.23563369,0.7889905
54,0.26202747,0.83964914
55,0.3231524,0.8484402
56,0.30391198,0.84005445
57,0.32334507,0.79691774
58,0.39540243,0.8042253
59,0.48433295,0.7196912
60,0.48591504,0.7060198
61,0.47518888,0.62809783
62,0.3998733,0.5695038
63,0.38009587,0.5285473
64,0.32121947,0.54413223
65,0.23073371,0.43355596
66,0.19296034,0.5753184
67,0.25674146,0.5563716
68,0.28516266,0.522864
69,0.21724571,0.51414806
70,0.20073569,0.5715692
71,0.23253013,0.68369824
72,0.25102344,0.68896276
73,0.2748707,0.7560772
74,0.41687575,0.80859774
75,0.48066512,0.78844225
76,0.5429707,0.6946409
77,0.51186097,0.71346927
78,0.4965795,0.61596674
79,0.639492,0.5410633
80,0.66288644,0.4590079
81,0.40461615,0.31576762
82,0.28885055,0.32107374
83,0.28674722,0.3244983
84,0.28070906,0.33659914
85,0.25435972,0.40851814
86,0.24090762,0.46406367
87,0.27029163,0.46550626
88,0.25788605,0.4577182
89,0.22976996,0.4630954
90,0.24141274,0.48527685
91,0.27229503,0.54152584
92,0.31237423,0.5984432
93,0.3317175,0.53233904
94,0.33401427,0.5054649
95,0.43080738,0.689597
96,0.46341947,0.6879136
97,0.5221865,0.6992995
98,0.5326012,0.6575309
99,0.5395874,0.609571
100,0.61210567,0.5795597
101,0.69878286,0.50825447
102,0.73759323,0.49135947
103,0.5564217,0.36946845
104,0.73358834,0.3397936
105,0.7997317,0.437141
106,0.761107,0.45866054
107,0.80422574,0.43641865
108,0.76915926,0.44193208
109,0.7641936,0.34521607
110,0.68317366,0.19169526
111,0.6465,0.17703487
112,0.50115496,0.13844976
113,0.45717275,0.1542043
114,0.45719507,0.157265
115,0.44862077,0.20576884
116,0.5132527,0.30000815
117,0.5003799,0.40108937
118,0.51239,0.44561538
119,0.55202246,0.46726194
120,0.5533711,0.47249663
121,0.40837973,0.48928505
122,0.41769284,0.50059146
123,0.36017254,0.49099165
124,0.37696296,0.52149105
125,0.39695045,0.5145234
126,0.35466507,0.5135383
127,0.33649588,0.4947447
128,0.29134622,0.49737215
129,0.32946786,0.4987863
130,0.2989397,0.4901887
131,0.32885045,0.50898504
132,0.34917992,0.50899786
133,0.34985194,0.55225396
134,0.33802238,0.5396112
135,0.38505372,0.570667
136,0.4112705,0.5585035
137,0.45395386,0.5928809
138,0.49815327,0.60798275
139,0.4910567,0.60643095
140,0.46451172,0.59886366
141,0.4230922,0.56509745
142,0.4259374,0.5799529
143,0.4177987,0.56255144
144,0.3996937,0.532411
145,0.3530874,0.4766494
146,0.27809414,0.435229
147,0.2675266,0.4255811
148,0.2621213,0.42367545
149,0.23428558,0.43011683
150,0.2107432,0.44626746
151,0.19817816,0.45716637
152,0.15739658,0.47443175
153,0.15146826,0.49947876
154,0.1585302,0.46995783
155,0.15596633,0.47042814
156,0.15656781,0.46382526
157,0.15008742,0.50644493
158,0.16877325,0.520404
159,0.21164383,0.5677948
160,0.24922043,0.5743795
161,0.27902576,0.5853776
162,0.30337974,0.54597145
163,0.299556,0.517686
164,0.28753215,0.54984003
165,0.27897337,0.5587718
166,0.26583928,0.5792473
167,0.2663207,0.6460579
168,0.2721996,0.63602966
169,0.2700575,0.64095193
170,0.27588937,0.6362757
171,0.28488508,0.6734172
172,0.2826896,0.7025502
173,0.27889535,0.6930328
174,0.27848864,0.6948132
175,0.2752824,0.69630516
176,0.27968594,0.71354586
177,0.24283655,0.7726884
178,0.24801561,0.75781584
179,0.24228166,0.7365673
180,0.2641162,0.74417675
181,0.2727425,0.7558561
182,0.29609868,0.68902946
183,0.35372248,0.72267854
184,0.3487344,0.6574157
185,0.3391291,0.6421297
186,0.26940957,0.6055335
187,0.20374162,0.5871676
188,0.15879402,0.52885574
189,0.09472975,0.48383838
190,0.09098918,0.50297123
191,0.087516636,0.50159156
192,0.09119834,0.48364088
193,0.05513614,0.48393288
194,0.05864361,0.47940782
195,0.053460874,0.48997676
196,0.05298998,0.5094346
197,0.057266448,0.5160603
198,0.05865971,0.52509457
199,0.062988706,0.5385219
200,0.0850819,0.5821884
201,0.10759428,0.6134032
202,0.13410084,0.62867963
203,0.15282008,0.62356424
204,0.18076628,0.63744503
205,0.2210039,0.64719695
206,0.23610573,0.7078495
207,0.25494635,0.6902369
208,0.2648653,0.65389353
209,0.26471674,0.67344236
210,0.26779383,0.66186863
211,0.26564085,0.66406685
212,0.25513157,0.67406076
213,0.21945274,0.6836059
214,0.12698048,0.6124437
215,0.10287853,0.6076823
216,0.09381165,0.5511373
217,0.0056761294,0.39612457
218,0.0014768795,0.3273373
219,0.0010980384,0.33535364
220,0.0008091582,0.29988316
221,0.0023910918,0.33990175
222,0.0023210833,0.3205429
223,0.0046205837,0.3675437
224,0.0060668453,0.3996147
225,0.0072814315,0.40842426
226,0.005748752,0.36479577
227,0.005139972,0.37597424
228,0.0037633218,0.37412125
229,0.004769054,0.38273814
230,0.005565471,0.39528373
231,0.0058298456,0.39787707
232,0.00572985,0.37500775
233,0.0057209088,0.37663037
234,0.005380307,0.39364865
235,0.0037478285,0.3748932
236,0.0061681187,0.38476503
237,0.0087606795,0.4203288
238,0.0044573466,0.38377187
239,0.010702802,0.40404895
240,0.013826292,0.44704908
241,0.014454711,0.44909838
242,0.017259495,0.459857
243,0.018571835,0.4621864
244,0.019863993,0.46392438
245,0.018613843,0.46151578
246,0.025929397,0.47421595
247,0.022582147,0.47367135
248,0.027840713,0.48123464
249,0.032826666,0.49079618
250,0.04455566,0.5039713
251,0.0577291,0.516325
252,0.06579679,0.55658007
253,0.075536795,0.5763145
254,0.08287691,0.6021094
255,0.093419954,0.63597894
256,0.10024049,0.62307256
257,0.117921114,0.59092456
258,0.12108732,0.6001645
259,0.122358225,0.6482449
260,0.106900305,0.66727173
261,0.08591122,0.69208723
262,0.041188147,0.5035308
263,0.006384859,0.38593453
